"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'FOB (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'FOB (Baht)')"
AU,AUSTRALIA,48000,2915869,96000,5865927
BN,BRUNEI DARUSSALAM,15000,597898,15000,597898
KH,CAMBODIA,0,0,4000,233300
ID,INDONESIA,348000,19351045,1046000,58529331
IQ,IRAQ,0,0,15000,244896
JP,JAPAN,25,808,25,808
MY,MALAYSIA,16001,1363666,34001,2914919
NL,NETHERLANDS,0,0,4865,500348
US,UNITED STATES,300,43770,1302,191329
VN,VIETNAM,0,0,34000,985593
SUM,SUM,427326,24273056,1250193,70064349
