"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
AU,AUSTRALIA,22000,2003896,44000,4039900
CN,CHINA,110630,6087323,566473,21835818
CI,COTE D IVOIRE,178500,6565569,178500,6565569
HK,HONG KONG,72000,2795736,136000,5374509
IN,INDIA,0,0,200,19597
ID,INDONESIA,82700,3805413,262000,11771926
JP,JAPAN,15300,788177,31600,1639983
KR,"KOREA,REPUBLIC OF",0,0,1000,106467
MX,MEXICO,15000,680009,45000,2051200
PK,PAKISTAN,375,61368,375,61368
VN,VIETNAM,24000,1107570,136000,5892819
SUM,SUM,520505,23895061,1401148,59359156
