"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'FOB (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'FOB (Baht)')"
AT,AUSTRIA,0,0,149,20228
BE,BELGIUM,0,0,91,11978
KH,CAMBODIA,0,0,560,61000
CN,CHINA,4409,54366,10075,586617
DK,DENMARK,0,0,33,5057
HK,HONG KONG,0,1891,193,161660
IN,INDIA,144750,6285418,1379500,62009605
ID,INDONESIA,0,0,25670,2134042
IT,ITALY,0,0,99,15171
JP,JAPAN,0,0,2838,608858
KR,"KOREA,REPUBLIC OF",37,5057,298,40456
LA,LAO PDR,0,0,55393,7652411
MY,MALAYSIA,0,0,294,382272
MM,MYANMAR,0,0,1425,119000
NZ,NEW ZEALAND,0,0,75,10114
NG,NIGERIA,0,0,28000,1746998
OM,OMAN,0,0,93,12642
RU,RUSSIAN FEDERATION,8,732,8,732
SG,SINGAPORE,0,0,28668,1948300
LK,SRI LANKA,0,0,40100,2193812
CH,SWITZERLAND,0,0,112,15171
TW,"TAIWAN, PROVINCE OF CHINA",136,20228,509,80912
AE,UNITED ARAB EMIRATES,0,0,145,20228
VN,VIETNAM,0,0,129,240947
SUM,SUM,149340,6367692,1574457,80078211
