"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'FOB (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'FOB (Baht)')"
AU,AUSTRALIA,160170,13556309,160170,13556309
AT,AUSTRIA,460,196207,460,196207
BE,BELGIUM,39600,3842440,39600,3842440
KH,CAMBODIA,6000,358440,6000,358440
CN,CHINA,8870030,552462577,8870030,552462577
DE,GERMANY,19850,1296494,19850,1296494
HK,HONG KONG,102200,7164225,102200,7164225
IN,INDIA,899650,57354273,899650,57354273
ID,INDONESIA,282463,19334726,282463,19334726
IE,IRELAND,875,179801,875,179801
IT,ITALY,3500,157713,3500,157713
JP,JAPAN,2571280,162678957,2571280,162678957
KE,KENYA,25000,836730,25000,836730
KR,"KOREA,REPUBLIC OF",1824200,127936761,1824200,127936761
MY,MALAYSIA,132550,10266620,132550,10266620
NZ,NEW ZEALAND,17900,1408952,17900,1408952
PH,PHILIPPINES,274000,11582845,274000,11582845
SG,SINGAPORE,166650,11828123,166650,11828123
LK,SRI LANKA,16025,395730,16025,395730
TW,"TAIWAN, PROVINCE OF CHINA",389160,23721903,389160,23721903
TZ,TANZANIA UNITED REPUBLIC OF,51000,1706929,51000,1706929
GB,UNITED KINGDOM,0,1054,0,1054
US,UNITED STATES,60000,5821881,60000,5821881
VN,VIETNAM,357300,24854143,357300,24854143
SUM,SUM,16269863,1038943833,16269863,1038943833
