"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
AU,AUSTRALIA,9500,1033946,101480,10148320
CN,CHINA,487375,11101963,1396114,40123356
HK,HONG KONG,19,38,20,79
IN,INDIA,0,0,43650,2559142
ID,INDONESIA,0,0,414,336717
LA,LAO PDR,0,0,6074,505762
MY,MALAYSIA,25,606,2025,164549
NZ,NEW ZEALAND,0,0,675,70644
PH,PHILIPPINES,0,0,850,97284
SG,SINGAPORE,0,0,7000,1065106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,36000,1371202
VN,VIETNAM,0,0,6400,694694
SUM,SUM,496919,12136553,1600702,57136855
