"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'FOB (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'FOB (Baht)')"
AR,ARGENTINA,0,0,28500,1736001
AU,AUSTRALIA,0,0,126688,2934042
BD,BANGLADESH,45000,2234704,232750,18265293
BE,BELGIUM,275800,27932356,1163800,112593227
KH,CAMBODIA,0,15687,218103,30954291
CN,CHINA,329775,28790317,1463316,119329940
CZ,CZECH REPUBLIC,492,34418,492,34418
EG,EGYPT,0,0,120000,6752460
DE,GERMANY,0,0,1600,72000
GN,GUINEA,0,0,54000,1170195
IN,INDIA,491590,37730345,3408510,237541505
ID,INDONESIA,210050,18101142,1053665,77959836
JP,JAPAN,24950,2361820,285440,21740797
KR,"KOREA,REPUBLIC OF",0,0,22975,2156068
LA,LAO PDR,83,22523,221,57389
MY,MALAYSIA,52200,5560810,259673,25667036
MU,MAURITIUS,0,0,32400,783531
MX,MEXICO,0,0,16000,874149
MM,MYANMAR,0,0,2351,252181
PK,PAKISTAN,0,0,20625,1773230
PH,PHILIPPINES,24600,2116546,185670,13194533
SA,SAUDI ARABIA,0,0,135550,9099780
SG,SINGAPORE,0,0,20,2000
ZA,SOUTH AFRICA,1510,150079,22610,1975399
LK,SRI LANKA,0,0,16000,377485
TW,"TAIWAN, PROVINCE OF CHINA",9000,668766,201900,18820479
AE,UNITED ARAB EMIRATES,60000,1435817,253000,10420287
US,UNITED STATES,0,0,500,34724
VN,VIETNAM,19567,1641423,163045,11284696
SUM,SUM,1544617,128796753,9489404,727856972
