"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'FOB (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'FOB (Baht)')"
CN,CHINA,1700,378927,2300,410684
HK,HONG KONG,0,0,7175,384624
ID,INDONESIA,13000,1813329,108525,14165603
KR,"KOREA,REPUBLIC OF",1000,229996,58500,6444291
LA,LAO PDR,15000,417500,42000,1275000
MY,MALAYSIA,0,0,1000,113414
PK,PAKISTAN,0,0,256600,19426117
PH,PHILIPPINES,13200,709344,100425,4883123
US,UNITED STATES,9800,483928,19400,929123
VN,VIETNAM,24000,1086762,223000,11450472
SUM,SUM,77700,5119786,818925,59482451
