"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'FOB (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'FOB (Baht)')"
AU,AUSTRALIA,49000,3238566,49000,3238566
BD,BANGLADESH,884000,49133161,1734000,96361882
CN,CHINA,3846700,223982489,12090900,708184048
ET,ETHIOPIA,0,0,102000,6018536
IN,INDIA,2796000,160181281,6064000,344336729
ID,INDONESIA,250000,15117075,389625,23121368
JP,JAPAN,1375,75377,1375,75377
KR,"KOREA,REPUBLIC OF",300,21447,3975,236248
MY,MALAYSIA,36250,2406320,42000,2718195
NO,NORWAY,2,6105,2,6105
PK,PAKISTAN,952000,52642497,1309000,72869781
PH,PHILIPPINES,58000,3417452,75036,4439249
SG,SINGAPORE,300,21447,2100,128769
LK,SRI LANKA,170000,9606414,408000,23252092
SY,SYRIAN ARAB REPUBLIC,0,0,80000,4767003
US,UNITED STATES,0,0,19000,1304016
VN,VIETNAM,372500,22745971,829900,50241014
SUM,SUM,9416427,542595602,23199913,1341298978
