"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'FOB (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'FOB (Baht)')"
BD,BANGLADESH,0,0,65000,1372737
BN,BRUNEI DARUSSALAM,0,0,30025,1109832
CN,CHINA,0,0,6225,334950
IN,INDIA,0,0,48000,2306808
JP,JAPAN,0,0,903,132512
LA,LAO PDR,0,0,24150,741710
MY,MALAYSIA,0,0,50025,1370202
PG,PAPUA NEW GUINEA,0,0,26,8602
ES,SPAIN,0,0,16,418
TR,TÜRKIYE,39600,2831172,94200,6841124
GB,UNITED KINGDOM,0,0,20,619
US,UNITED STATES,0,0,32375,2392073
VN,VIETNAM,38000,1309640,399003,14061742
SUM,SUM,77600,4140812,749968,30673329
