"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'FOB (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,49000,3238566
BD,BANGLADESH,340000,19677735,2074000,116039617
CN,CHINA,3591000,238000315,15681900,946184363
DJ,DJIBOUTI,68000,3836434,68000,3836434
ET,ETHIOPIA,0,0,102000,6018536
DE,GERMANY,1000,58183,1000,58183
IN,INDIA,2545000,157992449,8609000,502329178
ID,INDONESIA,216000,13654693,605625,36776061
JP,JAPAN,0,0,1375,75377
KR,"KOREA,REPUBLIC OF",1000,64377,4975,300625
MY,MALAYSIA,33000,2215860,75000,4934055
MU,MAURITIUS,3000,192126,3000,192126
NO,NORWAY,0,0,2,6105
PK,PAKISTAN,306000,18691788,1615000,91561569
PH,PHILIPPINES,0,0,75036,4439249
SG,SINGAPORE,0,0,2100,128769
LK,SRI LANKA,170000,10633752,578000,33885844
SY,SYRIAN ARAB REPUBLIC,0,0,80000,4767003
TW,"TAIWAN, PROVINCE OF CHINA",2000,117837,2000,117837
US,UNITED STATES,19000,1367454,38000,2671470
VN,VIETNAM,367850,22731539,1197750,72972553
SUM,SUM,7662850,489234542,30862763,1830533520
