"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'FOB (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'FOB (Baht)')"
AR,ARGENTINA,18000,1290734,72000,4671222
AU,AUSTRALIA,30000,712457,186813,5583410
BD,BANGLADESH,0,0,244750,19412360
BE,BELGIUM,384000,41828624,1885340,189883012
KH,CAMBODIA,27962,3792318,288445,41614211
CA,CANADA,500,4123,500,4123
CN,CHINA,679750,59207129,3498954,313689699
CO,COLOMBIA,17,12683,17,12683
CZ,CZECH REPUBLIC,0,0,492,34418
EG,EGYPT,0,0,144000,8261343
DE,GERMANY,0,0,1706,75504
GN,GUINEA,0,0,54000,1170195
HK,HONG KONG,0,0,1,16
IN,INDIA,272250,21184074,5167550,376324568
ID,INDONESIA,230325,18816091,1952190,154403039
JP,JAPAN,24875,2662282,472226,38627346
KR,"KOREA,REPUBLIC OF",0,0,44975,4247779
LA,LAO PDR,369,46185,675,126938
MY,MALAYSIA,86775,5476520,443547,37404971
MU,MAURITIUS,0,0,48600,1222116
MX,MEXICO,0,0,16000,874149
MM,MYANMAR,8600,833917,24141,2348875
NL,NETHERLANDS,0,0,20,2000
PK,PAKISTAN,0,0,81375,6452692
PH,PHILIPPINES,478,376944,220798,16466682
SA,SAUDI ARABIA,24000,2036355,353375,26272531
SG,SINGAPORE,0,0,1020,213180
ZA,SOUTH AFRICA,6500,518763,44610,4045738
LK,SRI LANKA,0,0,16088,386731
TW,"TAIWAN, PROVINCE OF CHINA",44500,4821066,338900,33929317
AE,UNITED ARAB EMIRATES,126750,7589889,421450,19395661
US,UNITED STATES,0,0,13775,1178795
VN,VIETNAM,39500,3616110,330167,24354890
SUM,SUM,2005151,174826264,16368500,1332690194
