"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
AU,AUSTRALIA,43200,6941224,161143,25325577
BD,BANGLADESH,0,0,608,33228
CN,CHINA,56,9445,9658,686079
FI,FINLAND,0,0,2,4525
FR,FRANCE,53,3599,244,17337
HK,HONG KONG,34,16847,52,17369
IN,INDIA,0,0,1504,203024
ID,INDONESIA,4500,394595,13500,1069182
IE,IRELAND,0,0,2,1249
IL,ISRAEL,0,0,1,133
JP,JAPAN,255002,12025225,651772,31459289
KR,"KOREA,REPUBLIC OF",7000,585229,52062,4250654
MY,MALAYSIA,5000,2966379,33800,6826350
NL,NETHERLANDS,0,84,1,116
NO,NORWAY,17,3349,18,3723
PK,PAKISTAN,4800,629781,4800,629781
PL,POLAND,0,0,17,598
SG,SINGAPORE,0,0,10,4567
CH,SWITZERLAND,0,0,28,2246
TW,"TAIWAN, PROVINCE OF CHINA",3,402,23,5315
TR,TÜRKIYE,0,0,3125,514338
AE,UNITED ARAB EMIRATES,0,0,323,108957
GB,UNITED KINGDOM,1,18,113,26132
US,UNITED STATES,52,36440,1667,570546
VN,VIETNAM,22200,1457246,25426,1874067
SUM,SUM,341918,25069863,959899,73634382
