"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'FOB (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'FOB (Baht)')"
AU,AUSTRALIA,2,13,13022,1590729
BD,BANGLADESH,12000,1162790,264538,26296026
BE,BELGIUM,148200,16250851,1582800,170908434
KH,CAMBODIA,28284,2279047,114401,18211334
CN,CHINA,115055,8507118,1483959,88839406
EG,EGYPT,0,0,24125,2386093
DE,GERMANY,8,2820,68,8820
HK,HONG KONG,0,0,5217,506918
IN,INDIA,303900,33068635,3218400,296729995
ID,INDONESIA,249800,25204538,1341455,127292049
IT,ITALY,50,4631,50,4631
JP,JAPAN,61584,6530638,303028,25687458
KR,"KOREA,REPUBLIC OF",2200,256294,69725,6050061
LA,LAO PDR,156,85677,919,245761
MY,MALAYSIA,35300,4800619,248443,29898545
MU,MAURITIUS,0,0,243000,7491890
MM,MYANMAR,0,0,5146,441278
PK,PAKISTAN,0,0,1500,343665
PH,PHILIPPINES,8050,750893,66230,6606440
SA,SAUDI ARABIA,250,17757,217925,18933723
SG,SINGAPORE,0,0,25,288
ZA,SOUTH AFRICA,20500,2365805,279600,24441238
LK,SRI LANKA,0,0,1467,32286
TW,"TAIWAN, PROVINCE OF CHINA",18300,1923782,326775,36545541
AE,UNITED ARAB EMIRATES,48000,6141092,427150,29028915
US,UNITED STATES,0,0,10000,752588
VN,VIETNAM,47043,4735073,357147,31284221
SUM,SUM,1098682,114088073,10606115,950558333
