"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'FOB (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'FOB (Baht)')"
BD,BANGLADESH,0,0,7200,397144
HK,HONG KONG,0,0,4248,289434
IN,INDIA,0,0,29400,1844150
ID,INDONESIA,368000,16830102,3206450,139135008
JP,JAPAN,1050,66605,16110,1019651
KR,"KOREA,REPUBLIC OF",0,0,50,6625
MY,MALAYSIA,0,0,100800,7688932
PK,PAKISTAN,0,0,4000,256574
TW,"TAIWAN, PROVINCE OF CHINA",350,7450,778,10645
US,UNITED STATES,0,0,2010,272787
VN,VIETNAM,0,0,200,17125
SUM,SUM,369400,16904157,3371246,150938075
