"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'FOB (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'FOB (Baht)')"
BD,BANGLADESH,0,0,65000,2003311
CN,CHINA,0,0,8200,451407
DE,GERMANY,0,0,10,527
HK,HONG KONG,0,0,3000,187486
IN,INDIA,0,0,24000,1566274
ID,INDONESIA,304000,13968996,1807525,87861035
JP,JAPAN,0,0,440,48608
KR,"KOREA,REPUBLIC OF",25,5402,175,15862
LA,LAO PDR,0,0,2610,542902
MY,MALAYSIA,1500,148056,2500,244459
PK,PAKISTAN,0,0,2000,166711
PH,PHILIPPINES,0,0,1000,73079
ZA,SOUTH AFRICA,0,0,75,242
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3800,283561
US,UNITED STATES,0,0,1002,138412
VN,VIETNAM,0,0,50,38158
SUM,SUM,305525,14122454,1921387,93622034
