"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'FOB (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,15000,1428866
BD,BANGLADESH,1075,101937,1075,101937
CN,CHINA,94000,8139516,140540,12418840
EG,EGYPT,144000,7119481,288000,15810091
GH,GHANA,80500,1999563,129250,3179616
IN,INDIA,195670,21280796,316780,34046084
ID,INDONESIA,242900,19432809,441580,36937747
JP,JAPAN,7820,1076869,8875,1148074
KR,"KOREA,REPUBLIC OF",0,0,12220,874760
MW,MALAWI,54000,1408111,54000,1408111
MY,MALAYSIA,129250,12462147,294501,22828124
NZ,NEW ZEALAND,50,20702,50,20702
PK,PAKISTAN,0,0,2000,265637
PH,PHILIPPINES,25344,2823775,25434,2934216
SA,SAUDI ARABIA,72000,5115180,72000,5115180
ZA,SOUTH AFRICA,24000,1928267,40904,2690581
LK,SRI LANKA,16000,414764,16000,414764
TW,"TAIWAN, PROVINCE OF CHINA",107350,12615986,107852,12665373
TR,TÜRKIYE,0,0,19,174731
AE,UNITED ARAB EMIRATES,30000,771563,60000,1642270
US,UNITED STATES,1,468,1,503
VN,VIETNAM,102200,5555675,207114,11533120
SUM,SUM,1326160,102267609,2233195,167639327
