"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'FOB (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'FOB (Baht)')"
AU,AUSTRALIA,68500,3006712,260000,18897835
BD,BANGLADESH,0,0,2675,256442
BR,BRAZIL,48000,3808872,72000,5701565
CN,CHINA,90307,7437917,831591,68358869
EG,EGYPT,0,0,662100,35818136
FI,FINLAND,0,0,4,971
GA,GABON,0,0,49500,1446290
GH,GHANA,0,0,129250,3179616
HK,HONG KONG,375,82676,6800,621035
IN,INDIA,352433,29416508,4545519,383208113
ID,INDONESIA,492825,40001098,3571593,285208656
IT,ITALY,0,0,1000,109331
JP,JAPAN,3216,376426,107593,11331982
KE,KENYA,0,0,24000,815931
KR,"KOREA,REPUBLIC OF",1851,415644,63446,5200590
LA,LAO PDR,100,2043,500,15543
LU,LUXEMBOURG,0,0,90,4640
MG,MADAGASCAR,362000,9542176,460275,12381512
MW,MALAWI,0,0,54000,1408111
MY,MALAYSIA,54962,4873481,916664,66754947
MV,MALDIVES,140,24000,204,24800
MM,MYANMAR,0,0,2000,173200
NL,NETHERLANDS,0,138,0,138
NZ,NEW ZEALAND,0,0,1000,300700
PK,PAKISTAN,0,0,28000,2335659
PH,PHILIPPINES,870,632740,87177,11806219
SA,SAUDI ARABIA,0,0,351500,24672444
SG,SINGAPORE,100,36,475,4784
ZA,SOUTH AFRICA,12000,725401,227508,13363415
LK,SRI LANKA,16000,447898,64000,1740576
TW,"TAIWAN, PROVINCE OF CHINA",65300,6547320,416690,44819840
TR,TÜRKIYE,1,12447,20,187178
AE,UNITED ARAB EMIRATES,90000,5130607,672000,43103552
US,UNITED STATES,0,0,157441,11161999
VN,VIETNAM,73485,7245078,1238252,73129407
SUM,SUM,1732465,119729218,15004867,1127544026
