"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'FOB (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'FOB (Baht)')"
BN,BRUNEI DARUSSALAM,0,0,17000,689686
KH,CAMBODIA,0,0,5000,267947
HK,HONG KONG,0,0,150,2750
IN,INDIA,3400,263941,3400,263941
ID,INDONESIA,434000,20862741,2364000,117732343
JP,JAPAN,100,3540,1500,61286
KR,"KOREA,REPUBLIC OF",0,0,24000,916621
MY,MALAYSIA,0,0,29050,1941121
PK,PAKISTAN,11200,1025454,40675,3896278
ZA,SOUTH AFRICA,0,0,14,100
TW,"TAIWAN, PROVINCE OF CHINA",50,22568,876,62631
US,UNITED STATES,0,0,997,156119
VN,VIETNAM,0,0,76000,2247273
SUM,SUM,448750,22178244,2562662,128238096
