"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'FOB (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'FOB (Baht)')"
AU,AUSTRALIA,24000,1284311,142250,7513165
BD,BANGLADESH,306000,14637811,2346000,113418612
BN,BRUNEI DARUSSALAM,0,0,300,1346
KH,CAMBODIA,0,0,2640,195409
CN,CHINA,4298975,212918705,26603725,1303843584
IN,INDIA,2046000,97832453,8357000,404532396
ID,INDONESIA,256000,13037893,595000,30433332
JP,JAPAN,0,0,12000,687760
KR,"KOREA,REPUBLIC OF",0,0,51000,2502420
LA,LAO PDR,25,79212,80,183076
MY,MALAYSIA,0,135,17250,878186
PK,PAKISTAN,68000,3223451,135000,6574993
PH,PHILIPPINES,18875,1083191,104750,5410911
SA,SAUDI ARABIA,0,0,24000,1265538
LK,SRI LANKA,0,0,136000,6702743
TW,"TAIWAN, PROVINCE OF CHINA",24000,1134665,48000,2293990
TR,TÜRKIYE,51000,2476987,51000,2476987
US,UNITED STATES,95000,4782745,266000,13896962
VN,VIETNAM,177000,8518777,605000,30221484
SUM,SUM,7364875,361010336,39496995,1933032894
