"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
AU,AUSTRALIA,1140610,43381063,1140610,43381063
BD,BANGLADESH,578000,22225238,578000,22225238
KH,CAMBODIA,271400,9608718,271400,9608718
CA,CANADA,48000,1842156,48000,1842156
CN,CHINA,8458497,328544203,8458497,328544203
FJ,FIJI,167550,6865369,167550,6865369
PF,FRENCH POLYNESIA,17000,605408,17000,605408
DE,GERMANY,75100,3889860,75100,3889860
IN,INDIA,2303075,85845037,2303075,85845037
ID,INDONESIA,8341625,305016531,8341625,305016531
JP,JAPAN,1489425,68175114,1489425,68175114
KR,"KOREA,REPUBLIC OF",451500,18607566,451500,18607566
LA,LAO PDR,651000,25535778,651000,25535778
LT,LITHUANIA,116000,4245915,116000,4245915
MY,MALAYSIA,652740,25566438,652740,25566438
MU,MAURITIUS,47000,1987272,47000,1987272
MM,MYANMAR,2849656,103155292,2849656,103155292
NL,NETHERLANDS,72000,3659418,72000,3659418
NZ,NEW ZEALAND,180060,8772848,180060,8772848
PH,PHILIPPINES,2880575,102383752,2880575,102383752
PT,PORTUGAL,646538,23026346,646538,23026346
RE,REUNION,43000,1870161,43000,1870161
RU,RUSSIAN FEDERATION,5000,174604,5000,174604
SG,SINGAPORE,101850,4029905,101850,4029905
LK,SRI LANKA,15000,553342,15000,553342
TW,"TAIWAN, PROVINCE OF CHINA",1822650,69327150,1822650,69327150
TR,TÜRKIYE,250000,9162375,250000,9162375
VN,VIETNAM,5414200,194104090,5414200,194104090
SUM,SUM,39089051,1472160949,39089051,1472160949
