"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'FOB (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'FOB (Baht)')"
AT,AUSTRIA,0,0,7,348
CN,CHINA,0,0,349000,9794752
FR,FRANCE,0,0,5,326
DE,GERMANY,0,0,169,3745
HK,HONG KONG,343,12058,1737,110409
IN,INDIA,32000,1213997,559050,16877101
ID,INDONESIA,5000,402168,17400,1393352
JP,JAPAN,1100,107757,1100,107757
MY,MALAYSIA,0,0,0,95
MM,MYANMAR,0,0,500,7200
NO,NORWAY,0,0,2,64
PH,PHILIPPINES,0,325,34352,1596148
SG,SINGAPORE,0,0,5,1168
VU,VANUATU,0,0,101,31500
SUM,SUM,38443,1736305,963428,29923965
