"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'FOB (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'FOB (Baht)')"
AR,ARGENTINA,163000,11868712,490300,35406167
AU,AUSTRALIA,0,0,490,192404
CN,CHINA,100,558,18000,840985
GH,GHANA,0,0,16250,463164
HK,HONG KONG,575,58877,575,58877
IN,INDIA,7000,636344,12500,889989
ID,INDONESIA,74000,5256324,438090,28114360
JP,JAPAN,18795,2283373,28313,3115480
KE,KENYA,0,0,16250,551753
KR,"KOREA,REPUBLIC OF",0,0,50,9946
MW,MALAWI,0,0,26000,701221
MY,MALAYSIA,0,0,225,42143
PK,PAKISTAN,0,0,900,69244
ZA,SOUTH AFRICA,0,0,1700,206630
TW,"TAIWAN, PROVINCE OF CHINA",1000,74983,1350,108803
VN,VIETNAM,56500,3595998,883265,51849180
SUM,SUM,320970,23775169,1934258,122620346
