"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'FOB (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,872,297000
CN,CHINA,0,0,64,5800
DE,GERMANY,0,0,2587,60992
HK,HONG KONG,0,0,133,20228
IN,INDIA,96000,4494220,501300,21752687
ID,INDONESIA,50,3397,50,3397
JP,JAPAN,16,1450,348,34001
KE,KENYA,0,0,75000,4983740
LA,LAO PDR,600,23600,32112,1893015
MY,MALAYSIA,60,81245,164,228221
SG,SINGAPORE,33,5057,15533,1053238
LK,SRI LANKA,0,0,6000,323242
CH,SWITZERLAND,0,0,3,0
TW,"TAIWAN, PROVINCE OF CHINA",0,0,49200,3689228
AE,UNITED ARAB EMIRATES,0,0,33,5057
GB,UNITED KINGDOM,0,0,232,35399
SUM,SUM,96759,4608969,683631,34385245
