"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'FOB (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'FOB (Baht)')"
AU,AUSTRALIA,19000,605701,19000,605701
BD,BANGLADESH,5000,406825,5000,406825
BR,BRAZIL,16500,1773977,16500,1773977
CA,CANADA,18000,1554012,18000,1554012
CN,CHINA,356005,32685906,356005,32685906
HK,HONG KONG,9300,1325814,9300,1325814
IN,INDIA,177600,13694054,177600,13694054
ID,INDONESIA,127000,7622890,127000,7622890
JP,JAPAN,103350,2388158,103350,2388158
LA,LAO PDR,56000,2799953,56000,2799953
LR,LIBERIA,64000,2086922,64000,2086922
MY,MALAYSIA,55450,4480720,55450,4480720
PK,PAKISTAN,2300,162542,2300,162542
PH,PHILIPPINES,9999,868101,9999,868101
TW,"TAIWAN, PROVINCE OF CHINA",8100,855421,8100,855421
US,UNITED STATES,8000,736168,8000,736168
VN,VIETNAM,4300,641593,4300,641593
SUM,SUM,1039904,74688757,1039904,74688757
