"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'FOB (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'FOB (Baht)')"
AO,ANGOLA,0,0,262300,10155501
AU,AUSTRALIA,1120900,48563724,9127125,377058914
BD,BANGLADESH,480750,19825416,2897250,116349026
BE,BELGIUM,0,0,416000,16100743
BR,BRAZIL,0,0,14200,697346
BN,BRUNEI DARUSSALAM,0,0,3500,147499
KH,CAMBODIA,521000,23815444,4040950,186836811
CM,CAMEROON,0,0,52500,2011420
CA,CANADA,68000,3520129,1470650,71091919
CL,CHILE,0,0,50,18785
CN,CHINA,21865585,912000532,170689541,6975592655
CG,CONGO,0,0,49000,2042560
CI,COTE D IVOIRE,105000,4151477,1392500,53700823
CU,CUBA,0,0,12000,687210
DJ,DJIBOUTI,220500,8968616,1496000,59639880
FJ,FIJI,176700,9519196,757550,38594971
FI,FINLAND,0,0,48000,2208469
FR,FRANCE,22000,1199153,308000,14677000
PF,FRENCH POLYNESIA,31000,1403981,152950,6989058
GA,GABON,0,0,41000,1921663
DE,GERMANY,299725,14521169,2122800,101995281
GH,GHANA,315000,12379056,2249500,86107705
IN,INDIA,476450,22822898,3111950,143326991
ID,INDONESIA,6414500,273735462,33108950,1356757232
IE,IRELAND,0,0,140000,6097441
IL,ISRAEL,1053800,49349312,10953025,478819089
JP,JAPAN,2190375,90623491,14884621,598024891
KZ,KAZAKHSTAN,34000,1396858,303500,12231204
KE,KENYA,107800,5624174,249775,12834905
KR,"KOREA,REPUBLIC OF",16000,1811916,140065,15002724
LA,LAO PDR,38000,1531205,883597,31737290
LV,LATVIA,0,0,43500,1964642
LT,LITHUANIA,26000,1247294,98400,4914154
MG,MADAGASCAR,53000,2610206,244500,11596976
MY,MALAYSIA,3697500,156305345,24136550,997881205
MV,MALDIVES,9500,420137,9500,420137
ML,MALI,0,0,162000,7693802
MU,MAURITIUS,105600,5307664,721175,35937296
MX,MEXICO,4000,542442,10400,1369650
MZ,MOZAMBIQUE,0,0,275050,11359093
MM,MYANMAR,548675,21102246,2303975,94386345
NP,NEPAL,0,0,49500,1870977
NL,NETHERLANDS,0,0,280500,13531043
NC,NEW CALEDONIA,70500,3146243,226250,9838370
NZ,NEW ZEALAND,696000,32615389,4392360,201735226
NG,NIGERIA,510000,11375976,575000,13998372
PK,PAKISTAN,136500,5886129,412925,18123707
PG,PAPUA NEW GUINEA,45900,2293815,348700,17019442
PH,PHILIPPINES,200425,8772645,3411525,139471261
PL,POLAND,22000,1111313,338500,15381886
PT,PORTUGAL,0,0,150000,5938094
QA,QATAR,0,0,25500,1160794
RE,REUNION,27000,1353285,253000,12384914
RU,RUSSIAN FEDERATION,152000,6985473,2350650,103121614
WS,SAMOA,0,0,26000,1385511
SA,SAUDI ARABIA,0,0,17500,710700
SN,SENEGAL,0,0,373700,16229067
SL,SIERRA LEONE,0,0,13500,654738
SG,SINGAPORE,0,0,299375,12418778
SI,SLOVENIA,0,0,198000,7917693
SB,SOLOMON ISLANDS,0,0,14200,760279
SO,SOMALIA,0,0,14200,770799
ZA,SOUTH AFRICA,552500,22963500,4384125,177988636
ES,SPAIN,0,0,49500,2023650
LK,SRI LANKA,149500,6419138,1182075,48205554
SE,SWEDEN,23950,1356299,248500,13134649
CH,SWITZERLAND,8,246,8,246
SY,SYRIAN ARAB REPUBLIC,0,0,226500,11171686
TW,"TAIWAN, PROVINCE OF CHINA",107250,5041340,467070,25204070
TG,TOGO,0,0,1120000,42573750
TR,TÜRKIYE,14050,778003,265700,13565954
UA,UKRAINE,87500,3786193,1136975,47891783
AE,UNITED ARAB EMIRATES,238000,10770249,1353800,58717596
GB,UNITED KINGDOM,0,0,35000,1466742
US,UNITED STATES,50,2038,41150,1846519
VN,VIETNAM,4774600,193098426,32387855,1289134735
YE,YEMEN,16000,640444,16000,640444
SUM,SUM,47825093,2012694687,346069042,14274969585
