"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'FOB (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,117000,5766982
BD,BANGLADESH,102000,5238217,1088000,53554464
KH,CAMBODIA,0,0,1320,132605
CN,CHINA,7840000,405256072,53532725,2709736724
IN,INDIA,3424000,180006129,17196075,859690420
ID,INDONESIA,100100,5206531,573225,28835830
JP,JAPAN,10,293,12010,717738
LA,LAO PDR,27,46145,283,449703
MY,MALAYSIA,17200,898594,56880,3530261
MU,MAURITIUS,0,0,4500,222417
MX,MEXICO,0,0,52000,1150535
PK,PAKISTAN,34000,1798422,141000,7140743
PH,PHILIPPINES,3000,216497,58325,3149031
SA,SAUDI ARABIA,0,0,24000,1214313
SC,SEYCHELLES,0,0,20,625
SG,SINGAPORE,0,0,4200,218962
LK,SRI LANKA,0,0,136000,6786295
TW,"TAIWAN, PROVINCE OF CHINA",34000,1780529,72025,4304380
US,UNITED STATES,0,0,114000,5703422
VN,VIETNAM,15000,793187,995946,49688795
SUM,SUM,11569337,601240616,74179534,3741994245
