"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'FOB (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'FOB (Baht)')"
AF,AFGHANISTAN,0,0,34000,1599815
AU,AUSTRALIA,137000,7293357,676400,34996936
BD,BANGLADESH,340000,16234062,3802000,177628683
KH,CAMBODIA,0,0,3300,279195
CN,CHINA,5486000,272230619,32197800,1552577651
DJ,DJIBOUTI,0,0,68000,3356598
ET,ETHIOPIA,0,0,34000,1702407
HK,HONG KONG,400,23157,2400,128822
IN,INDIA,1812000,86832924,19790375,936779215
ID,INDONESIA,78200,3898013,935950,45927460
JP,JAPAN,50,6651,26000,1417842
KR,"KOREA,REPUBLIC OF",7575,438557,15175,847596
MY,MALAYSIA,50250,2610176,174250,8840804
PK,PAKISTAN,221000,10699383,1700000,82500516
PH,PHILIPPINES,0,0,24900,1303762
SA,SAUDI ARABIA,72000,3553955,74000,3683357
SG,SINGAPORE,350,37762,10200,631552
LK,SRI LANKA,68000,3364508,442000,21374213
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,55581
TR,TÜRKIYE,0,0,68000,3547855
US,UNITED STATES,19000,1005047,69006,3632313
VN,VIETNAM,34400,1758580,656885,30690389
SUM,SUM,8326225,409986751,60805641,2913502562
