"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'FOB (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'FOB (Baht)')"
CN,CHINA,10000,570813,94013,7911416
HK,HONG KONG,0,0,12150,633777
IN,INDIA,0,0,15300,2073003
ID,INDONESIA,39000,5045519,229950,30297578
JP,JAPAN,36000,1723223,36409,1760690
KR,"KOREA,REPUBLIC OF",0,0,169000,18104578
LA,LAO PDR,13000,405500,145220,5458694
MY,MALAYSIA,0,0,300,9000
MX,MEXICO,0,0,25,4642
PK,PAKISTAN,94850,7269652,378100,29685117
PH,PHILIPPINES,0,0,174625,9260907
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3000,325625
US,UNITED STATES,0,0,11500,574935
VN,VIETNAM,24000,1418820,361648,18355834
SUM,SUM,216850,16433527,1631240,124455796
