"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'FOB (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,15015,1227770
BD,BANGLADESH,51000,4202801,68000,5627561
CN,CHINA,7571400,628376863,48256425,3568193445
DE,GERMANY,0,0,75,6412
IN,INDIA,475400,40077351,6149400,441279407
ID,INDONESIA,185000,15047983,442075,33830730
JP,JAPAN,0,0,12000,1122567
LA,LAO PDR,190,74869,1010,221806
MY,MALAYSIA,53100,4933998,870717,71817431
PK,PAKISTAN,0,0,59500,4301179
PH,PHILIPPINES,0,0,43925,4310401
SA,SAUDI ARABIA,0,0,24000,1645753
SG,SINGAPORE,0,0,24400,1905701
TR,TÜRKIYE,24000,1980866,24000,1980866
US,UNITED STATES,38000,3195549,94000,7083233
VN,VIETNAM,214200,23449885,802400,70821407
SUM,SUM,8612290,721340165,56886942,4215375669
