"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'FOB (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'FOB (Baht)')"
AU,AUSTRALIA,349550,15141363,349550,15141363
BE,BELGIUM,148500,5463223,148500,5463223
CN,CHINA,16844727,724858409,16844727,724858409
DJ,DJIBOUTI,49500,1504905,49500,1504905
EG,EGYPT,25,2050,25,2050
IN,INDIA,954450,39856602,954450,39856602
ID,INDONESIA,5787475,209717678,5787475,209717678
IT,ITALY,100,2653,100,2653
JP,JAPAN,5069150,190621121,5069150,190621121
KR,"KOREA,REPUBLIC OF",418450,21881469,418450,21881469
MY,MALAYSIA,1338845,48827450,1338845,48827450
NZ,NEW ZEALAND,179860,7604458,179860,7604458
PK,PAKISTAN,61500,2198066,61500,2198066
PH,PHILIPPINES,532500,17303610,532500,17303610
RE,REUNION,2000,59701,2000,59701
SG,SINGAPORE,397700,18078318,397700,18078318
TW,"TAIWAN, PROVINCE OF CHINA",746350,27578319,746350,27578319
US,UNITED STATES,4750,180407,4750,180407
VN,VIETNAM,1404200,62701495,1404200,62701495
SUM,SUM,34289632,1393581297,34289632,1393581297
