"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'FOB (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'FOB (Baht)')"
BE,BELGIUM,0,0,8,725
KH,CAMBODIA,0,0,916,309963
CN,CHINA,0,0,64,5800
FR,FRANCE,0,0,185,78489
DE,GERMANY,0,0,3580,77778
HK,HONG KONG,0,0,629,90907
IN,INDIA,81600,3584936,1174675,52165387
ID,INDONESIA,0,0,50,3397
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,8,725
IT,ITALY,66,10114,340,51295
JP,JAPAN,0,0,1704,135045
KE,KENYA,0,0,105000,6953790
LA,LAO PDR,0,0,75090,5017353
MY,MALAYSIA,45,61836,494,676474
NG,NIGERIA,0,0,30000,2058190
NO,NORWAY,66,10114,116,17699
PH,PHILIPPINES,0,0,25,1330
SG,SINGAPORE,0,0,36577,2486706
LK,SRI LANKA,0,0,12000,641144
CH,SWITZERLAND,0,0,3,0
TW,"TAIWAN, PROVINCE OF CHINA",66,10114,49399,3719570
AE,UNITED ARAB EMIRATES,42,6321,108,16435
GB,UNITED KINGDOM,0,0,398,60684
SUM,SUM,81885,3683435,1491369,74568886
