"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'FOB (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'FOB (Baht)')"
BD,BANGLADESH,0,0,70500,2618673
BN,BRUNEI DARUSSALAM,0,0,34000,1488148
CN,CHINA,79060,1780999,216485,7118912
IN,INDIA,32000,1977432,209000,12560983
ID,INDONESIA,0,0,3747104,164837714
JP,JAPAN,775,36739,5257,281480
LA,LAO PDR,30000,1390928,45000,2079411
PK,PAKISTAN,0,0,2800,277980
SG,SINGAPORE,0,0,11,1106
TW,"TAIWAN, PROVINCE OF CHINA",125,3348,667,61322
TR,TÜRKIYE,8400,664049,28200,2222806
US,UNITED STATES,0,0,30525,2453498
VN,VIETNAM,48100,2518684,101650,6170157
SUM,SUM,198460,8372179,4491199,202172190
