"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'FOB (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'FOB (Baht)')"
AU,AUSTRALIA,37600,5232535,117600,15928241
CN,CHINA,1187297,16841845,9021612,108996657
IN,INDIA,0,0,34000,1457182
ID,INDONESIA,1000,73998,5534,391920
JP,JAPAN,102000,4339949,719625,29782575
KR,"KOREA,REPUBLIC OF",0,0,22200,1536782
MY,MALAYSIA,0,0,900,97730
TR,TÜRKIYE,0,0,33000,2275020
VN,VIETNAM,20800,1829730,150600,11606807
SUM,SUM,1348697,28318057,10105071,172072914
