"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'FOB (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'FOB (Baht)')"
CN,CHINA,9596200,639435067,25350425,1683276909
DE,GERMANY,75,6412,75,6412
IN,INDIA,966000,64034739,1457000,94103151
ID,INDONESIA,0,0,35000,2279747
LA,LAO PDR,0,1381,480,69229
MY,MALAYSIA,19800,1915223,157764,11076452
PK,PAKISTAN,21000,1606511,40500,2687551
PH,PHILIPPINES,432,58513,38525,3921614
SA,SAUDI ARABIA,24000,1645753,24000,1645753
SG,SINGAPORE,0,0,12200,854235
US,UNITED STATES,19000,1269047,37000,2473906
VN,VIETNAM,34000,2263207,95200,6272305
SUM,SUM,10680507,712235853,27248169,1808667264
