"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'FOB (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'FOB (Baht)')"
AU,AUSTRALIA,5000,420227,140000,17208627
BD,BANGLADESH,0,0,85024,2612733
CN,CHINA,56400,6098384,1309842,114411620
ET,ETHIOPIA,153000,4483947,407000,11617484
GA,GABON,0,0,34000,959065
DE,GERMANY,0,0,0,1270
HK,HONG KONG,0,0,50,97608
IN,INDIA,43000,5099371,714860,74121259
ID,INDONESIA,8100,835585,532025,47185989
JP,JAPAN,0,0,354,6375
KR,"KOREA,REPUBLIC OF",0,0,440050,32604074
MY,MALAYSIA,2000,124200,315140,28084775
MU,MAURITIUS,0,0,35000,966245
MM,MYANMAR,100,30765,9100,460766
NZ,NEW ZEALAND,9000,1002197,113900,11966140
PK,PAKISTAN,0,0,9000,692653
PH,PHILIPPINES,650,45895,33880,3460429
SG,SINGAPORE,0,0,24908,2798823
LK,SRI LANKA,0,0,5500,381066
TW,"TAIWAN, PROVINCE OF CHINA",12200,1426016,65450,6048407
AE,UNITED ARAB EMIRATES,0,0,180900,18182495
US,UNITED STATES,0,0,80000,6415801
VN,VIETNAM,1600,163384,151370,17388496
SUM,SUM,291050,19729971,4687353,397672200
