"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'FOB (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,265000,13736721
BD,BANGLADESH,748000,36002685,1088000,50594682
KH,CAMBODIA,1540,113577,1540,113577
CN,CHINA,2996100,145882357,14075225,688587478
ET,ETHIOPIA,34000,1702407,34000,1702407
IN,INDIA,2812000,138815532,5228000,251132043
ID,INDONESIA,149750,7752008,387050,18977201
JP,JAPAN,850,153856,1050,171440
KR,"KOREA,REPUBLIC OF",1500,99339,1600,111821
MY,MALAYSIA,6250,356823,55250,2781339
PK,PAKISTAN,510000,25920086,799000,39609708
PH,PHILIPPINES,24000,1230142,24000,1230142
SG,SINGAPORE,7000,383055,7050,398048
LK,SRI LANKA,17000,875794,68000,3275178
TW,"TAIWAN, PROVINCE OF CHINA",1000,55581,1000,55581
TR,TÜRKIYE,68000,3547855,68000,3547855
US,UNITED STATES,31000,1678409,31000,1678409
VN,VIETNAM,2300,132864,36500,1736007
SUM,SUM,7410290,364702370,22171265,1079439637
