"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2013', 'Quantity')","('Jul 2013', 'FOB (Baht)')","('Jan - Jul 2013', 'Quantity')","('Jan - Jul 2013', 'FOB (Baht)')"
AU,AUSTRALIA,0,306,3908,371460
KH,CAMBODIA,26706,5353000,366769,73511000
CA,CANADA,0,0,3000,106331
CN,CHINA,0,6,7040,781676
DE,GERMANY,1,773,1,773
GH,GHANA,0,0,1,29
GR,GREECE,1,244,1,244
HK,HONG KONG,0,0,6276,796442
IN,INDIA,0,0,0,29
ID,INDONESIA,0,40,20075,369921
IL,ISRAEL,0,30,0,30
JP,JAPAN,0,0,63912,8092532
KE,KENYA,0,0,14250,883879
KR,"KOREA,REPUBLIC OF",0,0,47,4350
LA,LAO PDR,632,29600,757,41100
LT,LITHUANIA,0,203,0,203
MY,MALAYSIA,0,0,6250,709357
MM,MYANMAR,204,24600,204,24600
NC,NEW CALEDONIA,0,0,0,158
NG,NIGERIA,0,0,15000,956837
PK,PAKISTAN,0,0,5000,516115
PH,PHILIPPINES,0,58,640,84388
SA,SAUDI ARABIA,1,306,1,306
SG,SINGAPORE,4020,443458,17717,1925738
LK,SRI LANKA,7000,410678,37000,2177524
TW,"TAIWAN, PROVINCE OF CHINA",0,0,31,2930
AE,UNITED ARAB EMIRATES,0,0,0,174
GB,UNITED KINGDOM,0,0,16,3604
US,UNITED STATES,1,474,45,72602
VN,VIETNAM,2000,148795,7258,518294
ZW,ZIMBABWE,0,0,150,2953
SUM,SUM,40566,6412571,575349,91955579
