"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'FOB (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'FOB (Baht)')"
BD,BANGLADESH,0,0,48750,1336315
BN,BRUNEI DARUSSALAM,0,0,20000,1023662
IT,ITALY,0,0,150,10420
JP,JAPAN,0,0,488,145701
MX,MEXICO,0,0,24000,2166576
PG,PAPUA NEW GUINEA,19,6573,19,6573
TR,TÜRKIYE,0,0,30000,2516004
US,UNITED STATES,12000,1056236,63600,6255479
VN,VIETNAM,19000,1226015,266025,17148340
SUM,SUM,31019,2288824,453032,30609070
