"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'FOB (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'FOB (Baht)')"
AR,ARGENTINA,146800,13049788,750250,62164995
AU,AUSTRALIA,15000,1424500,135504,13248558
BD,BANGLADESH,0,0,20600,2080744
BE,BELGIUM,0,0,104,2641
CN,CHINA,125950,5889478,1654150,99082478
EG,EGYPT,48000,3704681,350000,23333207
GH,GHANA,0,0,418750,11736368
HK,HONG KONG,0,0,10203,809723
IN,INDIA,268814,24435507,1519392,140864814
ID,INDONESIA,158425,13935046,1155430,102082132
JP,JAPAN,579,58901,358062,11758432
KE,KENYA,8000,309205,141750,4623387
KR,"KOREA,REPUBLIC OF",0,0,37101,2672993
LA,LAO PDR,0,0,39,19078
MG,MADAGASCAR,0,0,512000,6831554
MY,MALAYSIA,41150,4241992,670973,51786553
MV,MALDIVES,0,0,6,5000
MZ,MOZAMBIQUE,32500,900425,32500,900425
MM,MYANMAR,2000,173200,6520,567900
PK,PAKISTAN,1500,180183,34000,1416465
PH,PHILIPPINES,12584,1889951,69933,8669702
PT,PORTUGAL,0,0,175,52757
SA,SAUDI ARABIA,72000,5637886,120000,9329340
SN,SENEGAL,0,0,48000,1681679
SG,SINGAPORE,26950,1536894,175450,9066305
ZA,SOUTH AFRICA,63904,4407291,108958,6692464
LK,SRI LANKA,16000,454231,138575,4203432
TW,"TAIWAN, PROVINCE OF CHINA",84335,10489500,243161,25035070
TR,TÜRKIYE,0,0,250,92404
AE,UNITED ARAB EMIRATES,0,0,288000,7293563
US,UNITED STATES,34000,2514308,53364,4122159
VN,VIETNAM,117614,7310971,494327,30846555
SUM,SUM,1276105,102543938,9547527,643072877
