"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'FOB (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'FOB (Baht)')"
CN,CHINA,0,0,15650,988366
FR,FRANCE,0,0,2,59
HK,HONG KONG,0,0,100,5991
IN,INDIA,200,5960,200,5960
ID,INDONESIA,102200,7476006,674039,46304889
JP,JAPAN,400,31371,14130,1084458
KR,"KOREA,REPUBLIC OF",0,0,1200,97368
MY,MALAYSIA,28250,1963813,280350,18453910
SG,SINGAPORE,0,0,1,102
ZA,SOUTH AFRICA,15000,1340899,68000,5476793
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2850,164794
US,UNITED STATES,0,0,4,118
VN,VIETNAM,0,0,1600,431475
SUM,SUM,146050,10818049,1058126,73014283
