"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'FOB (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'FOB (Baht)')"
CN,CHINA,141464,6167687,418881,17142507
HK,HONG KONG,0,0,168000,6790348
IN,INDIA,750,30078,130775,6160329
ID,INDONESIA,132650,5741031,1112416,52329405
JP,JAPAN,1036,71740,29861,1578825
KR,"KOREA,REPUBLIC OF",1000,110615,1000,110615
MX,MEXICO,15000,681634,75000,3525382
PK,PAKISTAN,0,0,2850,332461
PH,PHILIPPINES,0,0,16000,1223199
SG,SINGAPORE,0,492,300,12487
VN,VIETNAM,105500,4621382,800000,37538148
SUM,SUM,397400,17424659,2755083,126743706
