"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'FOB (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,41000,1732366
CN,CHINA,12000,1162233,683395,20467217
IN,INDIA,12000,458071,111525,10913958
ID,INDONESIA,91000,4282431,447900,21399315
JP,JAPAN,0,0,30000,1322777
KR,"KOREA,REPUBLIC OF",2000,213011,11000,1166525
MX,MEXICO,25500,1127821,102000,4583703
PK,PAKISTAN,0,0,2450,224322
TW,"TAIWAN, PROVINCE OF CHINA",0,0,175,26256
TG,TOGO,0,0,32500,784169
VN,VIETNAM,13500,873034,44127,2383511
SUM,SUM,156000,8116601,1506072,65004119
