"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
AU,AUSTRALIA,328825,14531179,328825,14531179
BD,BANGLADESH,89250,3548433,89250,3548433
BR,BRAZIL,100,4254,100,4254
KH,CAMBODIA,314400,15677537,314400,15677537
CA,CANADA,138000,6363569,138000,6363569
CL,CHILE,144000,5675832,144000,5675832
CN,CHINA,8533775,328807215,8533775,328807215
CO,COLOMBIA,48000,1891944,48000,1891944
FJ,FIJI,14200,746267,14200,746267
PF,FRENCH POLYNESIA,13500,606791,13500,606791
GA,GABON,17500,722099,17500,722099
DE,GERMANY,420000,24606014,420000,24606014
GR,GREECE,96000,5608750,96000,5608750
IN,INDIA,3209925,131526408,3209925,131526408
ID,INDONESIA,1042400,48393304,1042400,48393304
IL,ISRAEL,220475,12410790,220475,12410790
JP,JAPAN,156500,8427003,156500,8427003
KR,"KOREA,REPUBLIC OF",121640,5539980,121640,5539980
LT,LITHUANIA,146500,6264214,146500,6264214
MG,MADAGASCAR,33000,1736487,33000,1736487
MY,MALAYSIA,1882550,72926149,1882550,72926149
MU,MAURITIUS,35175,2127774,35175,2127774
MM,MYANMAR,325550,14430030,325550,14430030
NC,NEW CALEDONIA,13500,597456,13500,597456
NZ,NEW ZEALAND,615500,24260759,615500,24260759
NG,NIGERIA,493000,12355031,493000,12355031
PK,PAKISTAN,70000,2472596,70000,2472596
PH,PHILIPPINES,464500,17924719,464500,17924719
PL,POLAND,148500,6836220,148500,6836220
SG,SINGAPORE,12000,1333454,12000,1333454
SE,SWEDEN,48000,3028770,48000,3028770
TW,"TAIWAN, PROVINCE OF CHINA",75500,3108315,75500,3108315
TT,TRINIDAD AND TOBAGO,102000,4576641,102000,4576641
GB,UNITED KINGDOM,99000,4468162,99000,4468162
US,UNITED STATES,44000,2358015,44000,2358015
VN,VIETNAM,566700,24884938,566700,24884938
SUM,SUM,20083465,820777099,20083465,820777099
