"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'FOB (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'FOB (Baht)')"
AR,ARGENTINA,0,0,1,99
AU,AUSTRALIA,0,0,750,38047
CA,CANADA,0,0,1428,457433
CN,CHINA,0,0,22550,1097875
IN,INDIA,0,0,359,41112
ID,INDONESIA,43000,2687925,363769,31119733
JP,JAPAN,1,35,7936,774404
KE,KENYA,0,0,16250,438873
KR,"KOREA,REPUBLIC OF",0,0,100,6854
MY,MALAYSIA,5001,382629,73145,2502935
PK,PAKISTAN,0,0,110,30024
SG,SINGAPORE,0,0,1500,169281
ZA,SOUTH AFRICA,700,95453,4200,551385
LK,SRI LANKA,22,4977,22,4977
US,UNITED STATES,0,0,300,25365
VN,VIETNAM,102525,5197225,911525,46503152
SUM,SUM,151249,8368244,1403945,83761549
