"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'FOB (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'FOB (Baht)')"
BD,BANGLADESH,17000,1424760,17000,1424760
CN,CHINA,4963600,389376123,30314025,2072653032
DE,GERMANY,0,0,75,6412
IN,INDIA,3056000,211731837,4513000,305834988
ID,INDONESIA,187075,13687021,222075,15966768
JP,JAPAN,12000,1122567,12000,1122567
LA,LAO PDR,0,0,480,69229
MY,MALAYSIA,155828,12697830,313592,23774282
PK,PAKISTAN,0,0,40500,2687551
PH,PHILIPPINES,5400,388787,43925,4310401
SA,SAUDI ARABIA,0,0,24000,1645753
SG,SINGAPORE,0,0,12200,854235
US,UNITED STATES,0,0,37000,2473906
VN,VIETNAM,150000,11777434,245200,18049739
SUM,SUM,8546903,642206359,35795072,2450873623
