"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
ID,INDONESIA,9600,745459,9600,745459
LA,LAO PDR,15000,420000,15000,420000
SUM,SUM,24600,1165459,24600,1165459
