"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2012', 'Quantity')","('Jul 2012', 'FOB (Baht)')","('Jan - Jul 2012', 'Quantity')","('Jan - Jul 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,199091,6014878
BD,BANGLADESH,0,0,68480,3064575
BE,BELGIUM,0,0,500,31279
CN,CHINA,2575,182585,38064,5901619
DJ,DJIBOUTI,0,0,34000,1531031
HK,HONG KONG,0,0,7000,346217
ID,INDONESIA,32000,1935812,279845,15673561
JP,JAPAN,900,73152,91251,4663918
KR,"KOREA,REPUBLIC OF",150,663,1131,121295
MY,MALAYSIA,0,0,18500,883835
MM,MYANMAR,0,0,200,17244
PK,PAKISTAN,0,0,425,32623
PH,PHILIPPINES,0,0,51075,2312709
TW,"TAIWAN, PROVINCE OF CHINA",500,33715,500,33745
US,UNITED STATES,0,0,200,15314
VN,VIETNAM,51000,3415016,542708,36571922
SUM,SUM,87125,5640943,1332970,77215765
