"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'FOB (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'FOB (Baht)')"
AU,AUSTRALIA,20500,1712365,69700,5703645
CN,CHINA,15657667,258432727,111653587,604138372
DK,DENMARK,0,0,3,292
DE,GERMANY,1,187,1,187
HK,HONG KONG,0,0,350,55052
IN,INDIA,176050,7416837,469901,19423379
ID,INDONESIA,98250,4436645,185285,8639931
JP,JAPAN,65784,3928909,106698,5990094
KR,"KOREA,REPUBLIC OF",0,0,522,34102
LA,LAO PDR,10400,571356,10800,727313
MY,MALAYSIA,57975,3540253,99425,6805982
MU,MAURITIUS,0,0,1000,166942
MM,MYANMAR,11000,505569,21001,869964
NZ,NEW ZEALAND,43635,3242653,65335,4906864
PK,PAKISTAN,500,78322,500,78322
PH,PHILIPPINES,26200,2294849,26200,2294849
PT,PORTUGAL,5,315,5,315
RU,RUSSIAN FEDERATION,300,54775,300,54775
SA,SAUDI ARABIA,16800,1194423,16800,1194423
SG,SINGAPORE,2000,107879,2000,107879
ZA,SOUTH AFRICA,0,0,4000,733465
LK,SRI LANKA,500,52222,500,52222
TW,"TAIWAN, PROVINCE OF CHINA",96050,3681066,192130,7476020
GB,UNITED KINGDOM,3,189,3,189
US,UNITED STATES,0,0,7,648
VN,VIETNAM,31700,3168727,145365,7813409
SUM,SUM,16315320,294420268,113071418,677268635
