"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'FOB (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'FOB (Baht)')"
AU,AUSTRALIA,19700,2101252,146480,14650985
BD,BANGLADESH,0,0,12000,1499213
CN,CHINA,253650,13011917,1161355,71406848
GH,GHANA,0,0,16500,371250
IN,INDIA,22400,3240642,404450,41797073
ID,INDONESIA,15505,1291593,201880,18337935
JP,JAPAN,0,0,19960,1910981
KR,"KOREA,REPUBLIC OF",1,63,880,106861
LA,LAO PDR,0,0,7000,380662
MY,MALAYSIA,34940,3496659,147265,13237628
MZ,MOZAMBIQUE,0,0,2000,151386
MM,MYANMAR,3000,167435,26400,1028119
NZ,NEW ZEALAND,0,0,45460,5375573
PK,PAKISTAN,0,0,8750,625551
PH,PHILIPPINES,0,0,19200,1862177
SG,SINGAPORE,3000,180153,4040,301025
LK,SRI LANKA,0,0,2750,203609
TW,"TAIWAN, PROVINCE OF CHINA",12000,1420666,37975,3336875
US,UNITED STATES,1000,2328823,1000,2328823
VN,VIETNAM,12500,1708223,62745,8712577
SUM,SUM,377696,28947426,2328090,187625151
