"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'FOB (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,41090,1747510
CN,CHINA,25100,663953,759170,25745955
HK,HONG KONG,0,0,24000,902004
IN,INDIA,17000,2121634,213525,22112237
ID,INDONESIA,48600,2113154,792900,39269005
JP,JAPAN,0,0,30200,1340522
KR,"KOREA,REPUBLIC OF",0,0,18000,1891323
MX,MEXICO,24750,1033303,126750,5617006
PK,PAKISTAN,6000,862004,8450,1086326
TW,"TAIWAN, PROVINCE OF CHINA",0,0,175,26256
TG,TOGO,0,0,32500,784169
US,UNITED STATES,601,33340,601,33340
VN,VIETNAM,2000,96735,64227,3486501
SUM,SUM,124051,6924123,2111588,104042154
