"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
BE,BELGIUM,0,0,91,11978
CN,CHINA,0,0,5066,514715
DK,DENMARK,0,0,33,5057
HK,HONG KONG,0,0,102,148979
IN,INDIA,128000,6136481,514750,24174318
ID,INDONESIA,0,0,348,231438
IT,ITALY,0,0,99,15171
JP,JAPAN,33,5057,2222,525418
LA,LAO PDR,52,2704,49766,7157546
SG,SINGAPORE,0,0,7500,520542
AE,UNITED ARAB EMIRATES,0,0,33,5057
VN,VIETNAM,5,16260,14,87526
SUM,SUM,128090,6160502,580024,33397745
