"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'FOB (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,168000,10250209
BD,BANGLADESH,16500,872435,17100,926650
BN,BRUNEI DARUSSALAM,6000,290448,21000,888346
KH,CAMBODIA,0,0,6000,360621
CN,CHINA,0,0,302,9782
ID,INDONESIA,412000,23155653,2203000,122448440
IQ,IRAQ,0,0,31000,504516
JP,JAPAN,25,9966,1350,56726
MY,MALAYSIA,0,0,63001,5053444
NL,NETHERLANDS,0,0,4865,500348
US,UNITED STATES,0,0,1302,191329
VN,VIETNAM,74950,2211155,142950,4166773
SUM,SUM,509475,26539657,2659870,145357184
