"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'FOB (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'FOB (Baht)')"
AR,ARGENTINA,105100,7210118,105100,7210118
AU,AUSTRALIA,287000,16846591,287000,16846591
BD,BANGLADESH,460250,22169685,460250,22169685
BR,BRAZIL,165000,11126630,165000,11126630
CN,CHINA,22869725,1043320614,22869725,1043320614
EG,EGYPT,47000,2963059,47000,2963059
HK,HONG KONG,2200,223802,2200,223802
IN,INDIA,1036443,52437073,1036443,52437073
ID,INDONESIA,2064525,102329695,2064525,102329695
JP,JAPAN,1876693,87617492,1876693,87617492
LA,LAO PDR,12000,575925,12000,575925
MY,MALAYSIA,589650,33410608,589650,33410608
MM,MYANMAR,153000,7090828,153000,7090828
NZ,NEW ZEALAND,100025,4911855,100025,4911855
NG,NIGERIA,24750,1185623,24750,1185623
PK,PAKISTAN,537075,27334074,537075,27334074
PH,PHILIPPINES,989000,50050574,989000,50050574
SG,SINGAPORE,1,82,1,82
ZA,SOUTH AFRICA,112500,7602470,112500,7602470
LK,SRI LANKA,34250,1653323,34250,1653323
TW,"TAIWAN, PROVINCE OF CHINA",12000,573301,12000,573301
TR,TÜRKIYE,272000,13642358,272000,13642358
US,UNITED STATES,18000,852952,18000,852952
VN,VIETNAM,465350,22412461,465350,22412461
SUM,SUM,32233537,1517541193,32233537,1517541193
