"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'FOB (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'FOB (Baht)')"
AU,AUSTRALIA,159100,12071510,1317820,97860678
AT,AUSTRIA,0,0,560,240782
BD,BANGLADESH,158400,9988000,1247900,76704679
BE,BELGIUM,158400,10642133,970250,64270453
KH,CAMBODIA,3500,210467,51500,2541238
CN,CHINA,11559153,721477585,69696609,4319426836
CO,COLOMBIA,0,0,200,21612
EG,EGYPT,36000,2743255,36000,2743255
ET,ETHIOPIA,170000,5421993,319000,9755171
GA,GABON,34000,1061806,50000,1565806
DE,GERMANY,19800,1321626,59450,3829719
HK,HONG KONG,100845,5545226,946735,56305638
IN,INDIA,1298795,60136271,8215238,435989663
ID,INDONESIA,358700,24494668,2156248,143677761
IR,IRAN (ISLAMIC REPUBLIC OF),750,93978,750,93978
IE,IRELAND,0,0,875,179801
IT,ITALY,0,0,3500,157713
JP,JAPAN,2136855,125337903,13958090,809013306
KE,KENYA,0,0,45000,1505251
KR,"KOREA,REPUBLIC OF",1448277,104329584,10556888,741151261
LA,LAO PDR,0,0,120000,3062400
MY,MALAYSIA,103975,8121262,1022325,72104701
MU,MAURITIUS,0,0,34000,890931
MM,MYANMAR,0,0,1250,25000
NZ,NEW ZEALAND,41100,3096532,161300,12531629
PK,PAKISTAN,49600,3358600,118300,7467157
PH,PHILIPPINES,1221500,57933745,5340050,236510297
PL,POLAND,675,35880,675,35880
SA,SAUDI ARABIA,1355,87504,1355,87504
SG,SINGAPORE,112800,8099644,1189715,82804869
ES,SPAIN,0,0,2250,730
LK,SRI LANKA,17000,331111,107225,4043646
TW,"TAIWAN, PROVINCE OF CHINA",293700,19297784,2450810,155071070
TZ,TANZANIA UNITED REPUBLIC OF,51000,1736732,306000,10211170
GB,UNITED KINGDOM,0,0,0,1054
US,UNITED STATES,0,0,218825,18091472
VN,VIETNAM,590125,42990354,2856610,204203354
SUM,SUM,20125405,1229965153,123563303,7574177465
