"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
AU,AUSTRALIA,54000,2666714,117000,5766982
BD,BANGLADESH,204000,9960654,782000,38064569
CN,CHINA,6394925,312697355,31598725,1585646556
IN,INDIA,1563000,76505910,10822075,530494908
ID,INDONESIA,18000,893342,326125,16164690
LA,LAO PDR,0,0,232,358099
MY,MALAYSIA,17000,828039,17140,883079
MU,MAURITIUS,3000,146945,4500,222417
MX,MEXICO,0,0,52000,1150535
PK,PAKISTAN,0,0,90000,4490449
PH,PHILIPPINES,0,0,51000,2515698
SA,SAUDI ARABIA,24000,1214313,24000,1214313
SC,SEYCHELLES,20,625,20,625
SG,SINGAPORE,0,0,1000,51372
LK,SRI LANKA,17000,839820,85000,4199129
TW,"TAIWAN, PROVINCE OF CHINA",17000,837650,34000,1686505
US,UNITED STATES,57000,2791959,76000,3744514
VN,VIETNAM,344000,17054622,713946,35381296
SUM,SUM,8712945,426437948,44794763,2232035736
