"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'FOB (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'FOB (Baht)')"
AR,ARGENTINA,88400,6346703,180800,12881584
AU,AUSTRALIA,0,0,490,192389
CN,CHINA,0,0,17000,652352
GH,GHANA,0,0,16250,463164
ID,INDONESIA,32275,2113212,310415,19354643
JP,JAPAN,200,34626,9265,798033
KE,KENYA,0,0,16250,551753
KR,"KOREA,REPUBLIC OF",0,1568,50,9946
MW,MALAWI,0,0,26000,701221
MY,MALAYSIA,0,0,225,42143
PK,PAKISTAN,100,8187,700,53915
TW,"TAIWAN, PROVINCE OF CHINA",0,0,350,33820
VN,VIETNAM,91100,5633767,715740,41690831
SUM,SUM,212075,14138063,1293535,77425794
