"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'FOB (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,116000,3691811
CN,CHINA,0,0,75000,5819274
IN,INDIA,0,0,1390595,103492402
ID,INDONESIA,10000,1380521,45000,4025904
JP,JAPAN,950,62753,5687,506719
MY,MALAYSIA,0,0,34500,3703302
MM,MYANMAR,0,0,29,63800
PH,PHILIPPINES,22270,1313229,277645,18408349
VN,VIETNAM,0,0,200,5757
SUM,SUM,33220,2756503,1944656,139717318
