"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'FOB (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'FOB (Baht)')"
BE,BELGIUM,0,0,52,2068
KH,CAMBODIA,78433,15710000,126198,25271800
CN,CHINA,0,0,550,52854
DE,GERMANY,0,0,1,31
GH,GHANA,0,0,9200,267386
HK,HONG KONG,2,90,4,820
IN,INDIA,250,96304,350,120986
ID,INDONESIA,0,0,2209,115823
JP,JAPAN,15034,2217902,29717,4770412
KE,KENYA,0,0,13900,880495
KR,"KOREA,REPUBLIC OF",0,0,725,13673
LA,LAO PDR,0,0,524,98760
MY,MALAYSIA,0,0,19,249
NC,NEW CALEDONIA,0,0,1,600
NG,NIGERIA,0,0,15250,1014907
PH,PHILIPPINES,0,0,13,3120
SN,SENEGAL,0,0,45000,3023505
SG,SINGAPORE,7,6732,54067,2677459
ZA,SOUTH AFRICA,0,0,1,153
LK,SRI LANKA,10515,730857,57199,3187289
CH,SWITZERLAND,0,0,25,833
TW,"TAIWAN, PROVINCE OF CHINA",0,0,47,4050
TZ,TANZANIA UNITED REPUBLIC OF,0,0,150,4590
GB,UNITED KINGDOM,0,306,9,2588
US,UNITED STATES,0,0,0,9
VN,VIETNAM,2,97,3401,2006576
SUM,SUM,104243,18762288,358612,43521036
