"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'FOB (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,1000,38127
CN,CHINA,1163266,25094527,6578693,155382193
CI,COTE D IVOIRE,0,0,11500,871076
JP,JAPAN,0,0,8800,794185
KR,"KOREA,REPUBLIC OF",0,0,449,49019
LA,LAO PDR,7000,321430,25050,1150233
SG,SINGAPORE,0,0,300,14772
LK,SRI LANKA,0,0,25,1128
VN,VIETNAM,0,0,3200,286360
SUM,SUM,1170266,25415957,6629017,158587093
