"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'FOB (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'FOB (Baht)')"
AR,ARGENTINA,1,35,1,99
AU,AUSTRALIA,0,0,750,38047
CA,CANADA,0,0,1428,457433
CN,CHINA,4625,348235,21550,999194
IN,INDIA,0,0,359,41112
ID,INDONESIA,16204,1086274,293354,24025350
JP,JAPAN,8,324,7933,774271
KE,KENYA,0,0,16250,438873
KR,"KOREA,REPUBLIC OF",0,0,100,6854
MY,MALAYSIA,0,0,61369,1623140
PK,PAKISTAN,0,0,110,30024
SG,SINGAPORE,0,0,1500,169281
ZA,SOUTH AFRICA,0,0,2300,289943
US,UNITED STATES,0,0,300,25365
VN,VIETNAM,122000,6260658,728500,37164696
SUM,SUM,142838,7695526,1135804,66083682
