"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'FOB (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'FOB (Baht)')"
AU,AUSTRALIA,424140,15502049,424140,15502049
BD,BANGLADESH,134500,5106055,134500,5106055
KH,CAMBODIA,111000,4026454,111000,4026454
CA,CANADA,63000,2452230,63000,2452230
CN,CHINA,3273864,113704226,3273864,113704226
CI,COTE D IVOIRE,34000,1211648,34000,1211648
FJ,FIJI,18000,665605,18000,665605
PF,FRENCH POLYNESIA,18000,665605,18000,665605
HK,HONG KONG,473,26233,473,26233
IN,INDIA,1374500,49543110,1374500,49543110
ID,INDONESIA,1601725,60850784,1601725,60850784
JP,JAPAN,454000,19166536,454000,19166536
KR,"KOREA,REPUBLIC OF",269950,10420430,269950,10420430
LA,LAO PDR,385839,16781527,385839,16781527
MY,MALAYSIA,415470,17325922,415470,17325922
MV,MALDIVES,34,13460,34,13460
MM,MYANMAR,231500,8304012,231500,8304012
NZ,NEW ZEALAND,36000,1220276,36000,1220276
PH,PHILIPPINES,203000,7366716,203000,7366716
RE,REUNION,14000,591565,14000,591565
SA,SAUDI ARABIA,590,134779,590,134779
ZA,SOUTH AFRICA,70000,2813902,70000,2813902
LK,SRI LANKA,51750,1931256,51750,1931256
TW,"TAIWAN, PROVINCE OF CHINA",530500,19490735,530500,19490735
UA,UKRAINE,51750,2012028,51750,2012028
VN,VIETNAM,1081796,39235759,1081796,39235759
SUM,SUM,10849381,400562902,10849381,400562902
