"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'FOB (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,30000,2497385
BE,BELGIUM,48000,5304439,48000,5304439
CL,CHILE,24000,2394180,24000,2394180
CN,CHINA,8786000,866173021,37818300,3378584161
IN,INDIA,669000,62979573,4089000,395896566
ID,INDONESIA,60000,5778744,655000,59252915
IT,ITALY,0,0,48000,4833064
JP,JAPAN,0,0,9540,1331766
MY,MALAYSIA,353000,33724321,885300,84784536
MM,MYANMAR,0,0,365,61978
PK,PAKISTAN,16000,1795635,97000,9099782
PH,PHILIPPINES,8000,929407,10000,1133777
RU,RUSSIAN FEDERATION,0,0,144000,17880201
SG,SINGAPORE,200,15695,400,30460
ZA,SOUTH AFRICA,25,3325,25,3325
TW,"TAIWAN, PROVINCE OF CHINA",16000,3937096,33000,5380027
TR,TÜRKIYE,576000,63432469,2088000,236195172
US,UNITED STATES,15000,1471423,34000,3030582
VN,VIETNAM,166000,17600382,402000,40076414
SUM,SUM,10737225,1065539710,46415930,4247770730
