"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'FOB (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'FOB (Baht)')"
AU,AUSTRALIA,200,43379,200,43379
BD,BANGLADESH,16000,450084,121000,5024693
BE,BELGIUM,192000,23326799,432000,52020333
KH,CAMBODIA,30834,6258062,30834,6258062
CN,CHINA,709300,27263390,1746910,58810066
CZ,CZECH REPUBLIC,0,0,295,24471
DE,GERMANY,150,6150,150,6150
IN,INDIA,485075,42900178,1234550,113571570
ID,INDONESIA,197475,16342202,725640,63826726
JP,JAPAN,64444,5237299,104840,7416916
KR,"KOREA,REPUBLIC OF",0,0,46000,5211020
LA,LAO PDR,347,57616,904,159764
MY,MALAYSIA,74570,8063343,186620,22461151
MM,MYANMAR,270,38070,576,75420
NG,NIGERIA,0,0,3000,226290
PH,PHILIPPINES,33975,3736276,48004,5083530
SA,SAUDI ARABIA,24750,2201954,24750,2201954
ZA,SOUTH AFRICA,46500,4851075,467500,43269254
SD,SUDAN,0,0,50400,3536211
TW,"TAIWAN, PROVINCE OF CHINA",16800,1960253,99050,11035546
TR,TÜRKIYE,0,0,100,6069
AE,UNITED ARAB EMIRATES,96000,9834822,96000,9834822
GB,UNITED KINGDOM,0,0,55,6695
VN,VIETNAM,43644,4091866,207357,17129931
SUM,SUM,2032334,156662818,5626735,427240023
