"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'FOB (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,11,201
BD,BANGLADESH,0,0,32500,809366
BN,BRUNEI DARUSSALAM,0,0,12000,566813
CN,CHINA,0,0,133200,1396719
JP,JAPAN,0,0,359,7510
MY,MALAYSIA,0,0,25,1529
PG,PAPUA NEW GUINEA,0,0,62,19636
SG,SINGAPORE,0,0,0,50
ZA,SOUTH AFRICA,0,0,100,6857
CH,SWITZERLAND,0,0,42,1981
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1425,103249
TR,TÜRKIYE,24000,1899884,118800,9308630
US,UNITED STATES,0,0,91167,7608089
VN,VIETNAM,0,0,353000,19924696
SUM,SUM,24000,1899884,742691,39755326
